config,instance,severity,method,policy_source,seed,total_cost,departed,cpu,breakdown_count
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,44,3899.6978,17,229.394,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,45,3819.5554,18,212.1975,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,46,4441.5474,15,296.1032,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,47,3885.2792,19,204.4884,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,48,3791.7386,19,199.5652,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,49,3800.7418,16,237.5464,
j10c5a2__A070.json,j10c5a2,A070,RoundRobin,ns:baselines.run_episode,0,3481.0404,17,204.7671,
j10c5a2__A070.json,j10c5a2,A070,RoundRobin,ns:baselines.run_episode,1,3578.2526,15,238.5502,
j10c5a2__A070.json,j10c5a2,A070,RoundRobin,ns:baselines.run_episode,2,3841.3236,17,225.9602,
j10c5a2__A070.json,j10c5a2,A070,RoundRobin,ns:baselines.run_episode,3,3788.1364,18,210.452,
j10c5a2__A070.json,j10c5a2,A070,RoundRobin,ns:baselines.run_episode,4,3948.8992,16,246.8062,
j10c5a2__A070.json,j10c5a2,A070,RoundRobin,ns:baselines.run_episode,5,3889.2756,21,185.2036,
j10c5a2__A070.json,j10c5a2,A070,RoundRobin,ns:baselines.run_episode,6,4215.7222,13,324.2863,
j10c5a2__A070.json,j10c5a2,A070,RoundRobin,ns:baselines.run_episode,7,3630.3324,20,181.5166,
j10c5a2__A070.json,j10c5a2,A070,RoundRobin,ns:baselines.run_episode,8,3682.1594,18,204.5644,
j10c5a2__A070.json,j10c5a2,A070,RoundRobin,ns:baselines.run_episode,9,4000.5214,20,200.0261,
j10c5a2__A070.json,j10c5a2,A070,RoundRobin,ns:baselines.run_episode,10,4048.7492,19,213.0921,
j10c5a2__A070.json,j10c5a2,A070,RoundRobin,ns:baselines.run_episode,11,3847.0916,15,256.4728,
j10c5a2__A070.json,j10c5a2,A070,RoundRobin,ns:baselines.run_episode,12,3435.3626,13,264.2587,
j10c5a2__A070.json,j10c5a2,A070,RoundRobin,ns:baselines.run_episode,13,3583.7984,12,298.6499,
j10c5a2__A070.json,j10c5a2,A070,RoundRobin,ns:baselines.run_episode,14,3703.3972,14,264.5284,
j10c5a2__A070.json,j10c5a2,A070,RoundRobin,ns:baselines.run_episode,15,3820.1296,18,212.2294,
